,dataset,run,threshold,accuracy,num_features_kept,num_features_total,fraction_kept,classifier_train_time
271,Lightning7,0,threshold=0.01,0.8082191780821918,12148,20000,0.6074,0.011171900026965886
272,Mallat,0,no_selection (baseline),0.9577825159914712,20000,20000,1.0,0.012964299996383488
273,Mallat,0,threshold=0.0,0.9577825159914712,19970,20000,0.9985,0.01502799999434501
274,Mallat,0,threshold=0.001,0.9458422174840085,11971,20000,0.59855,0.00916680000955239
275,Mallat,0,threshold=0.01,0.9368869936034115,10087,20000,0.50435,0.008686400018632412
276,Meat,0,no_selection (baseline),0.95,20000,20000,1.0,0.015291200019419193
277,Meat,0,threshold=0.0,0.95,19214,20000,0.9607,0.01826700003584847
278,Meat,0,threshold=0.001,0.9333333333333333,7166,20000,0.3583,0.008140599995385855
279,Meat,0,threshold=0.01,0.9166666666666666,899,20000,0.04495,0.003099900030065328
280,MedicalImages,0,no_selection (baseline),0.7921052631578948,20000,20000,1.0,0.15081029996508732
281,MedicalImages,0,threshold=0.0,0.7921052631578948,20000,20000,1.0,0.1687398999929428
282,MedicalImages,0,threshold=0.001,0.7934210526315789,19608,20000,0.9804,0.16701480001211166
283,MedicalImages,0,threshold=0.01,0.7842105263157895,14021,20000,0.70105,0.11794919997919351
284,MelbournePedestrian,0,no_selection (baseline),0.939319393193932,20000,20000,1.0,0.5142940999940038
285,MelbournePedestrian,0,threshold=0.0,0.939319393193932,20000,20000,1.0,0.5798833000008017
286,MelbournePedestrian,0,threshold=0.001,0.939729397293973,19997,20000,0.99985,0.6166976999957114
